season,division,date,home,away,home_goals,away_goals,game_nr,team1_home
2017,2,2017-08-13,Uruguay,Argentina,87,78,127,1
2017,2,2017-08-13,Montenegro,Serbia,71,82,128,1
2017,2,2017-08-13,Italy,Turkey,73,53,129,1
2017,2,2017-08-13,Israel,Great Britain,78,69,130,1
2017,2,2017-08-13,Slovenia,Ukraine,78,67,131,1
2017,2,2017-08-13,Georgia,Czech Republic,68,64,132,1
2017,2,2017-08-13,Germany,Hungary,67,65,133,1
2017,2,2017-08-13,Russia,Iceland,82,69,134,1
2017,2,2017-08-14,Croatia,Ukraine,79,74,135,1
2017,2,2017-08-15,Spain,Venezuela,90,44,136,1
2017,2,2017-08-15,Lithuania,France,96,71,137,1
2017,2,2017-08-16,Czech Republic,Turkey,66,67,138,1
2019,3,2017-08-16,Netherlands,Austria,71,78,139,1
2019,3,2017-08-16,Slovakia,Bosnia & Herzegovina,74,92,140,1
2019,3,2017-08-16,Estonia,North Macedonia,74,65,141,1
2017,2,2017-08-18,Spain,Senegal,80,69,142,1
2017,2,2017-08-18,France,Belgium,85,60,143,1
2017,2,2017-08-18,Czech Republic,Finland,83,62,144,1
2017,2,2017-08-18,Montenegro,Italy,66,67,145,1
2017,2,2017-08-18,Israel,Slovenia,89,84,146,1
2017,2,2017-08-19,Argentina,Colombia,78,59,147,1
2017,2,2017-08-19,Brazil,Uruguay,63,69,148,1
2017,2,2017-08-19,France,Montenegro,100,70,149,1
2017,2,2017-08-19,Slovenia,Turkey,84,86,150,1
2017,2,2017-08-19,Great Britain,Greece,84,88,151,1
2017,2,2017-08-19,Latvia,Lithuania,87,77,152,1
2017,2,2017-08-19,Belgium,Italy,80,60,153,1
2017,2,2017-08-19,Hungary,Iceland,81,66,154,1
2019,3,2017-08-19,Sweden,Slovakia,86,82,155,1
2017,2,2017-08-20,Argentina,Uruguay,92,74,156,1
2017,2,2017-08-20,Brazil,Colombia,72,58,157,1
2017,2,2017-08-20,France,Italy,88,63,158,1
2017,2,2017-08-20,Israel,Turkey,83,84,159,1
2017,2,2017-08-20,Spain,Venezuela,90,62,160,1
2017,2,2017-08-20,Montenegro,Belgium,78,64,161,1
2017,2,2017-08-20,Iceland,Hungary,67,82,162,1
2017,2,2017-08-21,Uruguay,Colombia,76,74,163,1
2017,2,2017-08-22,Argentina,Brazil,86,74,164,1
2017,2,2017-08-23,Belgium,Spain,72,88,165,1
2017,2,2017-08-23,Lithuania,Iceland,84,62,166,1
2017,2,2017-08-24,Great Britain,Hungary,82,64,167,1
2017,2,2017-08-24,Slovenia,Croatia,74,73,168,1
2017,2,2017-08-24,Turkey,Ukraine,79,55,169,1
2017,2,2017-08-24,Latvia,Czech Republic,103,69,170,1
2017,2,2017-08-24,Poland,Israel,74,77,171,1
2017,2,2017-08-25,Israel,Hungary,85,70,172,1
2017,2,2017-08-25,Finland,Russia,91,100,173,1
2017,2,2017-08-25,Ukraine,Montenegro,62,75,174,1
2017,2,2017-08-25,Lithuania,Spain,78,79,175,1
2017,2,2017-08-25,Poland,Great Britain,86,76,176,1
2017,2,2017-08-26,Turkey,Montenegro,84,70,177,1
2017,2,2017-08-26,Poland,Hungary,74,64,178,1
2017,2,2017-08-26,Great Britain,Israel,85,64,179,1
2017,2,2017-08-27,Germany,France,79,85,180,1
2017,1,2017-08-31,Italy,Israel,69,48,181,0
2017,1,2017-08-31,France,Finland,84,86,182,0
2017,1,2017-08-31,Lithuania,Georgia,77,79,183,0
2017,1,2017-08-31,Iceland,Greece,61,90,184,0
2017,1,2017-08-31,Germany,Ukraine,75,63,185,0
2017,1,2017-08-31,Slovenia,Poland,90,81,186,0
2017,1,2017-09-01,Turkey,Russia,73,76,187,0
2017,1,2017-09-01,Spain,Montenegro,99,60,188,0
2017,1,2017-09-01,Serbia,Latvia,92,82,189,0
2017,1,2017-09-01,Hungary,Croatia,58,67,190,0
2017,1,2017-09-01,Belgium,Great Britain,103,90,191,0
2017,1,2017-09-02,Israel,Lithuania,73,88,192,0
2017,1,2017-09-02,Great Britain,Turkey,70,84,193,0
2017,1,2017-09-02,Finland,Slovenia,78,81,194,0
2017,1,2017-09-02,Ukraine,Italy,66,78,195,0
2017,1,2017-09-02,Czech Republic,Spain,56,93,196,0
2017,1,2017-09-02,Russia,Serbia,75,72,197,0
2017,1,2017-09-02,Greece,France,87,95,198,0
2017,1,2017-09-02,Georgia,Germany,57,67,199,0
2017,1,2017-09-02,Montenegro,Hungary,72,48,200,0
2017,1,2017-09-02,Latvia,Belgium,92,64,201,0
2017,1,2017-09-02,Poland,Iceland,91,61,202,0
2017,1,2017-09-03,Germany,Israel,80,82,203,0
2017,1,2017-09-03,Finland,Poland,90,87,204,0
2017,1,2017-09-03,Lithuania,Italy,78,73,205,0
2017,1,2017-09-03,Slovenia,Greece,78,72,206,0
2017,1,2017-09-03,Georgia,Ukraine,81,88,207,0
2017,1,2017-09-03,France,Iceland,115,79,208,0
2017,1,2017-09-04,Serbia,Turkey,80,74,209,0
2017,1,2017-09-04,Montenegro,Croatia,72,76,210,0
2017,1,2017-09-04,Belgium,Russia,67,76,211,0
2017,1,2017-09-04,Hungary,Czech Republic,85,73,212,0
2017,1,2017-09-04,Latvia,Great Britain,97,92,213,0
2017,1,2017-09-05,Israel,Georgia,91,104,214,0
2017,1,2017-09-05,Turkey,Belgium,78,65,215,0
2017,1,2017-09-05,Greece,Finland,77,89,216,0
2017,1,2017-09-05,Italy,Germany,55,61,217,0
2017,1,2017-09-05,Croatia,Spain,73,79,218,0
2017,1,2017-09-05,Great Britain,Serbia,68,82,219,0
2017,1,2017-09-05,Poland,France,75,78,220,0
2017,1,2017-09-05,Ukraine,Lithuania,62,94,221,0
2017,1,2017-09-05,Czech Republic,Montenegro,75,88,222,0
2017,1,2017-09-05,Russia,Latvia,69,84,223,0
2017,1,2017-09-05,Iceland,Slovenia,75,102,224,0
2017,1,2017-09-06,Finland,Iceland,83,79,225,0
2017,1,2017-09-06,Israel,Ukraine,64,88,226,0
2017,1,2017-09-06,Georgia,Italy,69,71,227,0
2017,1,2017-09-06,Greece,Poland,95,77,228,0
2017,1,2017-09-06,Germany,Lithuania,72,89,229,0
2017,1,2017-09-06,Slovenia,France,95,78,230,0
2017,1,2017-09-07,Latvia,Turkey,89,79,231,0
2017,1,2017-09-07,Belgium,Serbia,54,74,232,0
2017,1,2017-09-07,Hungary,Spain,64,87,233,0
2017,1,2017-09-07,Czech Republic,Croatia,69,107,234,0
2017,1,2017-09-07,Russia,Great Britain,82,70,235,0
2017,1,2017-09-09,Lithuania,Greece,64,77,236,0
2017,1,2017-09-09,Finland,Italy,57,70,237,0
2017,1,2017-09-09,Germany,France,84,81,238,0
2017,1,2017-09-09,Slovenia,Ukraine,79,55,239,0
2017,1,2017-09-10,Croatia,Russia,78,101,240,0
2017,1,2017-09-10,Spain,Turkey,73,56,241,0
2017,1,2017-09-10,Serbia,Hungary,86,78,242,0
2017,1,2017-09-10,Latvia,Montenegro,100,68,243,0
2017,1,2017-09-12,Slovenia,Latvia,103,97,244,0
2017,1,2017-09-12,Germany,Spain,72,84,245,0
2017,1,2017-09-13,Italy,Serbia,67,83,246,0
2017,1,2017-09-13,Greece,Russia,69,74,247,0
2017,1,2017-09-14,Spain,Slovenia,72,92,248,0
2017,1,2017-09-15,Russia,Serbia,79,87,249,0
2017,1,2017-09-17,Slovenia,Serbia,93,85,250,0
2017,1,2017-09-17,Spain,Russia,93,85,251,0
2017,2,2017-10-06,Saudi Arabia,Bahrain,75,72,252,1
2019,3,2017-11-23,Uruguay,Panama,86,73,253,1
2019,3,2017-11-23,Lebanon,India,107,72,254,1
2019,3,2017-11-23,Syria,Jordan,72,109,255,1
2019,3,2017-11-23,New Zealand,South Korea,80,86,256,1
2019,3,2017-11-24,Belgium,France,59,70,257,1
2019,3,2017-11-24,Great Britain,Greece,92,95,258,1
2019,3,2017-11-24,Montenegro,Spain,66,79,259,1
2019,3,2017-11-24,Netherlands,Croatia,68,61,260,1
2019,3,2017-11-24,Serbia,Austria,85,64,261,1
2019,3,2017-11-24,Germany,Georgia,79,70,262,1
2019,3,2017-11-24,Sweden,Ukraine,76,84,263,1
2019,3,2017-11-24,Bosnia & Herzegovina,Russia,81,76,264,1
2019,3,2017-11-24,Poland,Hungary,70,60,265,1
2019,3,2017-11-24,Guinea,Tunisia,56,96,266,1
2019,3,2017-11-24,Iraq,Iran,74,66,267,1
2019,3,2017-11-24,Bulgaria,Finland,80,82,268,1
2019,3,2017-11-24,Czech Republic,Iceland,89,69,269,1
2019,3,2017-11-24,Turkey,Latvia,85,73,270,1
2019,3,2017-11-24,Qatar,Kazakhstan,70,82,271,1
2019,3,2017-11-24,D.R. Congo,Egypt,61,65,272,1
2019,3,2017-11-24,Israel,Estonia,88,68,273,1
2019,3,2017-11-24,Japan,Philippines,71,77,274,1
2019,3,2017-11-24,Puerto Rico,USA,78,85,275,1
2019,3,2017-11-25,Cameroon,Guinea,116,78,276,1
2019,3,2017-11-25,Egypt,Angola,64,68,277,1
2019,3,2017-11-25,Canada,Bahamas,93,69,278,1
2019,3,2017-11-25,Venezuela,Colombia,85,71,279,1
2019,3,2017-11-25,Chile,Brazil,73,86,280,1
2019,3,2017-11-26,USA,Mexico,91,55,281,1
2019,3,2017-11-26,Panama,Argentina,59,68,282,1
2019,3,2017-11-26,Cameroon,Tunisia,66,67,283,1
2019,3,2017-11-26,Spain,Slovenia,92,84,284,1
2019,3,2017-11-26,Lithuania,Poland,75,55,285,1
2019,3,2017-11-26,D.R. Congo,Angola,64,73,286,1
2019,3,2017-11-26,Jordan,Lebanon,87,83,287,1
2019,3,2017-11-26,Croatia,Italy,64,80,288,1
2019,3,2017-11-26,Ukraine,Turkey,60,67,289,1
2019,3,2017-11-26,Latvia,Sweden,82,73,290,1
2019,3,2017-11-26,India,Syria,57,74,291,1
2019,3,2017-11-26,South Korea,China,81,92,292,1
2019,3,2017-11-27,Brazil,Venezuela,72,60,293,1
2019,3,2017-11-27,France,Bosnia & Herzegovina,84,65,294,1
2019,3,2017-11-27,Iceland,Bulgaria,74,77,295,1
2019,3,2017-11-27,Austria,Germany,49,90,296,1
2019,3,2017-11-27,Serbia,Georgia,105,87,297,1
2019,3,2017-11-27,Estonia,Great Britain,73,70,298,1
2019,3,2017-11-27,Finland,Czech Republic,56,64,299,1
2019,3,2017-11-27,Greece,Israel,82,61,300,1
2019,3,2017-11-27,Kazakhstan,Iraq,82,76,301,1
2019,3,2017-11-27,Russia,Belgium,76,69,302,1
2019,3,2017-11-27,Iran,Qatar,65,39,303,1
2019,3,2017-11-27,Australia,Japan,82,58,304,1
2019,3,2017-11-28,Colombia,Chile,69,74,305,1
2019,3,2017-11-28,Dominican Republic,Canada,88,76,306,1
2019,3,2018-02-22,Brazil,Colombia,84,49,307,1
2019,3,2018-02-22,Iraq,Qatar,66,77,308,1
2019,3,2018-02-22,Kazakhstan,Iran,54,75,309,1
2019,3,2018-02-22,Australia,Philippines,84,68,310,1
2019,3,2018-02-23,France,Russia,75,74,311,1
2019,3,2018-02-23,Iceland,Finland,81,76,312,1
2019,3,2018-02-23,Italy,Netherlands,80,62,313,1
2019,3,2018-02-23,Bosnia & Herzegovina,Belgium,72,70,314,1
2019,3,2018-02-23,Montenegro,Slovenia,63,75,315,1
2019,3,2018-02-23,Germany,Serbia,79,74,316,1
2019,3,2018-02-23,Sweden,Turkey,59,58,317,1
2019,3,2018-02-23,Lithuania,Hungary,80,75,318,1
2019,3,2018-02-23,Latvia,Ukraine,68,82,319,1
2019,3,2018-02-23,Austria,Georgia,64,78,320,1
2019,3,2018-02-23,Greece,Estonia,87,75,321,1
2019,3,2018-02-23,Bulgaria,Czech Republic,76,78,322,1
2019,3,2018-02-23,Uganda,Nigeria,86,102,323,1
2019,3,2018-02-23,Syria,Lebanon,63,87,324,1
2019,3,2018-02-23,Senegal,Central African Republic,70,65,325,1
2019,3,2018-02-23,India,Jordan,88,102,326,1
2019,3,2018-02-23,Israel,Great Britain,82,75,327,1
2019,3,2018-02-23,China,New Zealand,73,82,328,1
2019,3,2018-02-23,Bahamas,Dominican Republic,63,96,329,1
2019,3,2018-02-23,Venezuela,Chile,77,56,330,1
2019,3,2018-02-24,Ivory Coast,Senegal,67,60,331,1
2019,3,2018-02-24,Mexico,Puerto Rico,80,100,332,1
2019,3,2018-02-24,Argentina,Uruguay,83,88,333,1
2019,3,2018-02-25,Brazil,Chile,83,58,334,1
2019,3,2018-02-25,Austria,Serbia,81,82,335,1
2019,3,2018-02-25,Finland,Bulgaria,75,70,336,1
2019,3,2018-02-25,Greece,Great Britain,75,70,337,1
2019,3,2018-02-25,Iceland,Czech Republic,76,75,338,1
2019,3,2018-02-25,Estonia,Israel,78,62,339,1
2019,3,2018-02-25,Georgia,Germany,77,87,340,1
2019,3,2018-02-25,Iran,Iraq,83,53,341,1
2019,3,2018-02-25,France,Belgium,64,49,342,1
2019,3,2018-02-25,Russia,Bosnia & Herzegovina,70,53,343,1
2019,3,2018-02-25,Ivory Coast,Central African Republic,62,63,344,1
2019,3,2018-02-25,Kazakhstan,Qatar,96,63,345,1
2019,3,2018-02-25,Philippines,Japan,89,84,346,1
2019,3,2018-02-26,Croatia,Netherlands,82,78,347,1
2019,3,2018-02-26,Hungary,Poland,64,57,348,1
2019,3,2018-02-26,Spain,Montenegro,79,67,349,1
2019,3,2018-02-26,Latvia,Turkey,79,70,350,1
2019,3,2018-02-26,Jordan,Syria,87,62,351,1
2019,3,2018-02-26,Ukraine,Sweden,77,66,352,1
2019,3,2018-02-26,India,Lebanon,50,90,353,1
2019,3,2018-02-26,South Korea,New Zealand,84,93,354,1
2019,3,2018-02-26,Colombia,Venezuela,62,73,355,1
2019,3,2018-02-26,Bahamas,Canada,67,113,356,1
2019,3,2018-02-27,USA,Puerto Rico,83,75,357,1
2019,3,2018-02-27,Panama,Uruguay,86,75,358,1
2018,2,2018-06-15,Japan,South Korea,88,80,359,1
2018,2,2018-06-17,Japan,South Korea,87,99,360,1
2018,2,2018-06-18,Cameroon,Saudi Arabia,76,59,361,1
2018,2,2018-06-18,Jordan,Uganda,91,75,362,1
2018,2,2018-06-19,Jordan,Cameroon,74,79,363,1
2018,2,2018-06-19,Cyprus,Lebanon,53,74,364,1
2018,2,2018-06-19,Saudi Arabia,Iraq,56,71,365,1
2018,2,2018-06-21,Estonia,Finland,69,76,366,1
2018,2,2018-06-21,Bulgaria,Tunisia,81,61,367,1
2018,2,2018-06-22,Croatia,Bosnia & Herzegovina,88,75,368,1
2018,2,2018-06-22,Czech Republic,Georgia,71,57,369,1
2018,2,2018-06-22,Bulgaria,Tunisia,84,87,370,1
2018,2,2018-06-22,Israel,Ukraine,83,85,371,1
2018,2,2018-06-25,Latvia,Russia,71,79,372,1
2018,2,2018-06-25,Finland,Estonia,95,76,373,1
2019,3,2018-06-28,Italy,Croatia,72,78,374,1
2019,3,2018-06-28,Lebanon,Jordan,77,76,375,1
2019,3,2018-06-28,Slovenia,Spain,72,83,376,1
2019,3,2018-06-28,Poland,Lithuania,61,79,377,1
2019,3,2018-06-28,Turkey,Ukraine,80,66,378,1
2019,3,2018-06-28,Israel,Greece,78,96,379,1
2019,3,2018-06-28,Sweden,Latvia,72,82,380,1
2019,3,2018-06-28,Syria,India,81,76,381,1
2019,3,2018-06-28,China,South Korea,74,82,382,1
2019,3,2018-06-29,Canada,Dominican Republic,97,61,383,1
2019,3,2018-06-29,Venezuela,Brazil,72,56,384,1
2019,3,2018-06-29,Tunisia,Guinea,94,54,385,1
2019,3,2018-06-29,Nigeria,Uganda,109,66,386,1
2019,3,2018-06-29,Central African Republic,Senegal,82,91,387,1
2019,3,2018-06-29,Belgium,Russia,66,84,388,1
2019,3,2018-06-29,Bosnia & Herzegovina,France,52,102,389,1
2019,3,2018-06-29,Great Britain,Estonia,74,65,390,1
2019,3,2018-06-29,Egypt,D.R. Congo,63,77,391,1
2019,3,2018-06-29,Germany,Austria,85,63,392,1
2019,3,2018-06-29,Iraq,Kazakhstan,64,50,393,1
2019,3,2018-06-29,Czech Republic,Finland,77,73,394,1
2019,3,2018-06-29,Bulgaria,Iceland,88,86,395,1
2019,3,2018-06-29,Georgia,Serbia,50,87,396,1
2019,3,2018-06-29,Qatar,Iran,75,77,397,1
2019,3,2018-06-29,Japan,Australia,79,78,398,1
2019,3,2018-06-29,Mexico,USA,78,70,399,1
2019,3,2018-06-29,Argentina,Panama,87,62,400,1
2019,3,2018-06-30,Senegal,Ivory Coast,66,61,401,1
2019,3,2018-06-30,Angola,Egypt,65,58,402,1
2019,3,2018-06-30,Guinea,Cameroon,48,65,403,1
2019,3,2018-06-30,Chile,Colombia,67,71,404,1
2019,3,2018-07-01,Puerto Rico,Mexico,84,79,405,1
2019,3,2018-07-01,Uruguay,Argentina,58,102,406,1
2019,3,2018-07-01,Tunisia,Cameroon,56,53,407,1
2019,3,2018-07-01,Lebanon,Syria,87,50,408,1
2019,3,2018-07-01,Hungary,Lithuania,50,73,409,1
2019,3,2018-07-01,Slovenia,Montenegro,74,87,410,1
2019,3,2018-07-01,Central African Republic,Ivory Coast,69,60,411,1
2019,3,2018-07-01,Jordan,India,114,70,412,1
2019,3,2018-07-01,Netherlands,Italy,81,66,413,1
2019,3,2018-07-01,Angola,D.R. Congo,56,66,414,1
2019,3,2018-07-01,Turkey,Sweden,77,52,415,1
2019,3,2018-07-01,Ukraine,Latvia,71,93,416,1
2019,3,2018-07-01,New Zealand,China,67,57,417,1
2019,3,2018-07-02,Colombia,Brazil,71,98,418,1
2019,3,2018-07-02,Belgium,Bosnia & Herzegovina,79,77,419,1
2019,3,2018-07-02,Great Britain,Israel,59,67,420,1
2019,3,2018-07-02,Serbia,Germany,81,88,421,1
2019,3,2018-07-02,Czech Republic,Bulgaria,81,75,422,1
2019,3,2018-07-02,Estonia,Greece,56,78,423,1
2019,3,2018-07-02,Russia,France,78,84,424,1
2019,3,2018-07-02,Finland,Iceland,91,77,425,1
2019,3,2018-07-02,Qatar,Iraq,84,79,426,1
2019,3,2018-07-02,Georgia,Austria,98,73,427,1
2019,3,2018-07-02,Iran,Kazakhstan,88,56,428,1
2019,3,2018-07-02,Philippines,Australia,53,89,429,1
2019,3,2018-07-03,Chile,Venezuela,51,70,430,1
2019,3,2018-07-03,Dominican Republic,Bahamas,82,83,431,1
2018,2,2018-08-14,Finland,Croatia,70,77,432,1
2018,2,2018-08-15,Croatia,Tunisia,73,46,433,1
2018,2,2018-08-31,Finland,Latvia,80,73,434,1
2018,2,2018-09-05,Croatia,Slovenia,86,87,435,1
2018,2,2018-09-05,Finland,Lithuania,103,75,436,1
2018,2,2018-09-06,Russia,Israel,71,93,437,1
2018,2,2018-09-06,Estonia,Belgium,60,98,438,1
2018,2,2018-09-07,France,Montenegro,83,66,439,1
2018,2,2018-09-07,Portugal,Austria,74,79,440,1
2018,2,2018-09-07,Estonia,Belgium,55,68,441,1
2018,2,2018-09-07,Latvia,Finland,84,86,442,1
2018,2,2018-09-07,Israel,Poland,76,84,443,1
2018,2,2018-09-08,Slovenia,Croatia,75,83,444,1
2018,2,2018-09-08,Montenegro,Greece,76,87,445,1
2018,2,2018-09-08,Russia,Poland,88,68,446,1
2018,2,2018-09-09,France,Greece,84,68,447,1
2018,2,2018-09-09,Lithuania,Latvia,80,97,448,1
2019,3,2018-09-13,Canada,Brazil,85,77,449,1
2019,3,2018-09-13,Lebanon,China,92,88,450,1
2019,3,2018-09-13,Greece,Serbia,70,63,451,1
2019,3,2018-09-13,Israel,Georgia,80,85,452,1
2019,3,2018-09-13,Czech Republic,Russia,80,78,453,1
2019,3,2018-09-13,Estonia,Germany,43,86,454,1
2019,3,2018-09-13,Finland,Bosnia & Herzegovina,85,81,455,1
2019,3,2018-09-13,Jordan,South Korea,75,86,456,1
2019,3,2018-09-13,Qatar,Australia,43,95,457,1
2019,3,2018-09-13,Bulgaria,France,74,68,458,1
