season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2017,2,2017-08-06,Slovenia,Czech Republic,88,80,127,1,2,1,8,4,0,71,21
2017,2,2017-08-06,Russia,Israel,71,79,128,1,2,1,6,6,0,66,41
2017,2,2017-08-07,Tunisia,Belgium,70,65,129,1,2,2,5,10,0,78,8
2017,2,2017-08-07,Greece,Romania,106,48,130,1,7,8,1,4,1,32,65
2017,2,2017-08-07,Great Britain,Ukraine,86,64,131,1,100,9,7,8,0,31,82
2017,2,2017-08-08,Spain,Tunisia,71,45,132,1,16,1,3,6,0,74,78
2017,2,2017-08-08,France,Croatia,87,92,133,1,3,7,2,1,0,28,19
2017,2,2017-08-08,Greece,Great Britain,92,64,134,1,1,1,2,8,0,32,31
2017,2,2017-08-08,Ukraine,Romania,91,57,135,1,1,1,9,5,0,82,65
2017,2,2017-08-09,Spain,Belgium,71,89,136,1,1,2,4,11,0,74,8
2017,2,2017-08-09,Croatia,Lithuania,82,80,137,1,1,4,2,3,0,19,50
2019,3,2017-08-09,Netherlands,Albania,91,77,138,1,4,7,13,8,0,54,1
2019,3,2017-08-09,Slovakia,Sweden,68,59,139,1,4,7,12,8,0,70,75
2019,3,2017-08-09,Estonia,Kosovo,76,50,140,1,4,7,9,10,0,26,47
2017,2,2017-08-10,France,Lithuania,98,77,141,1,2,1,3,4,0,28,50
2017,2,2017-08-11,Montenegro,Greece,81,83,142,1,100,3,7,3,0,53,32
2017,2,2017-08-11,Italy,Finland,75,70,143,1,12,6,2,4,0,42,27
2017,2,2017-08-11,Iceland,Germany,66,90,144,1,13,6,9,8,0,35,30
2017,2,2017-08-11,Latvia,Poland,77,65,145,1,6,6,4,9,0,48,61
2017,2,2017-08-11,Georgia,Czech Republic,87,76,146,1,6,5,10,5,0,29,21
2017,2,2017-08-11,Russia,Hungary,84,69,147,1,5,6,7,11,0,66,34
2017,2,2017-08-12,Uruguay,Argentina,96,105,148,1,13,7,3,1,0,83,3
2017,2,2017-08-12,Serbia,Greece,93,61,149,1,7,1,1,4,1,69,32
2017,2,2017-08-12,Finland,Turkey,93,88,150,1,1,7,5,1,0,27,79
2017,2,2017-08-12,Croatia,Slovenia,85,81,151,1,3,6,3,9,0,19,71
2017,2,2017-08-12,Hungary,Iceland,56,60,152,1,1,1,12,10,0,34,35
2017,2,2017-08-12,Germany,Russia,60,89,153,1,1,1,9,8,0,30,66
2019,3,2017-08-12,North Macedonia,Kosovo,87,74,154,1,7,3,13,11,0,57,47
2019,3,2017-08-12,Bosnia & Herzegovina,Sweden,72,88,155,1,7,3,10,9,0,9,75
2019,3,2017-08-12,Bulgaria,Portugal,91,65,156,1,10,10,11,12,0,11,62
2019,3,2017-08-12,Austria,Albania,97,63,157,1,7,3,12,9,0,5,1
2017,2,2017-08-13,Uruguay,Argentina,87,78,158,1,1,1,4,2,0,83,3
2017,2,2017-08-13,Montenegro,Serbia,71,82,159,1,2,1,8,2,0,53,69
2017,2,2017-08-13,Italy,Turkey,73,53,160,1,2,1,3,2,0,42,79
2017,2,2017-08-13,Israel,Great Britain,78,69,161,1,7,5,7,9,0,41,31
2017,2,2017-08-13,Slovenia,Ukraine,78,67,162,1,1,5,10,10,0,71,82
2017,2,2017-08-13,Georgia,Czech Republic,68,64,163,1,2,2,11,6,0,29,21
2017,2,2017-08-13,Germany,Hungary,67,65,164,1,1,1,10,13,0,30,34
2017,2,2017-08-13,Russia,Iceland,82,69,165,1,1,1,9,11,0,66,35
2017,2,2017-08-14,Croatia,Ukraine,79,74,166,1,2,1,4,11,0,19,82
2017,2,2017-08-15,Spain,Venezuela,90,44,167,1,6,7,5,1,0,74,84
2017,2,2017-08-15,Lithuania,France,96,71,168,1,5,5,5,4,0,50,28
2017,2,2017-08-16,Czech Republic,Turkey,66,67,169,1,3,3,7,3,0,21,79
2019,3,2017-08-16,Netherlands,Austria,71,78,170,1,7,4,14,13,0,54,5
2019,3,2017-08-16,Slovakia,Bosnia & Herzegovina,74,92,171,1,7,4,13,11,0,70,9
2019,3,2017-08-16,Estonia,North Macedonia,74,65,172,1,7,4,10,14,0,26,57
2017,2,2017-08-18,Spain,Senegal,80,69,173,1,3,7,6,1,0,74,68
2017,2,2017-08-18,France,Belgium,85,60,174,1,3,9,5,12,0,28,8
2017,2,2017-08-18,Lithuania,Romania,97,64,175,1,3,10,6,6,0,50,65
2017,2,2017-08-18,Czech Republic,Finland,83,62,176,1,2,6,8,6,0,21,27
2017,2,2017-08-18,Montenegro,Italy,66,67,177,1,5,5,9,4,0,53,42
2017,2,2017-08-18,Israel,Slovenia,89,84,178,1,5,5,8,11,0,41,71
2017,2,2017-08-19,Argentina,Colombia,78,59,179,1,6,7,3,1,0,3,18
2017,2,2017-08-19,Brazil,Uruguay,63,69,180,1,7,6,1,5,1,10,83
2017,2,2017-08-19,France,Montenegro,100,70,181,1,1,1,6,10,0,28,53
2017,2,2017-08-19,Slovenia,Turkey,84,86,182,1,1,3,12,4,0,71,79
2017,2,2017-08-19,Great Britain,Greece,84,88,183,1,6,7,10,5,0,31,32
2017,2,2017-08-19,Latvia,Lithuania,87,77,184,1,8,1,5,7,0,48,50
2017,2,2017-08-19,Belgium,Italy,80,60,185,1,1,1,13,5,0,8,42
2017,2,2017-08-19,Hungary,Iceland,81,66,186,1,6,6,14,12,0,34,35
2019,3,2017-08-19,Albania,Netherlands,37,111,187,1,7,3,10,15,0,1,54
2019,3,2017-08-19,Kosovo,Estonia,75,69,188,1,7,3,12,11,0,47,26
2019,3,2017-08-19,Sweden,Slovakia,86,82,189,1,7,3,10,14,0,75,70
2017,2,2017-08-20,Argentina,Uruguay,92,74,190,1,1,1,4,6,0,3,83
2017,2,2017-08-20,Brazil,Colombia,72,58,191,1,1,1,2,2,0,10,18
2017,2,2017-08-20,France,Italy,88,63,192,1,1,1,7,6,0,28,42
2017,2,2017-08-20,Israel,Turkey,83,84,193,1,2,1,9,5,0,41,79
2017,2,2017-08-20,Spain,Venezuela,90,62,194,1,2,5,7,2,0,74,84
2017,2,2017-08-20,Latvia,Romania,98,68,195,1,1,2,6,7,0,48,65
2017,2,2017-08-20,Montenegro,Belgium,78,64,196,1,1,1,11,14,0,53,8
2017,2,2017-08-20,Iceland,Hungary,67,82,197,1,1,1,13,15,0,35,34
2017,2,2017-08-21,Uruguay,Colombia,76,74,198,1,1,1,7,3,0,83,18
2017,2,2017-08-22,Argentina,Brazil,86,74,199,1,2,2,5,3,0,3,10
2017,2,2017-08-23,Belgium,Spain,72,88,200,1,3,3,15,8,0,8,74
2017,2,2017-08-23,Lithuania,Iceland,84,62,201,1,4,3,8,14,0,50,35
2017,2,2017-08-24,Great Britain,Hungary,82,64,202,1,5,4,11,16,0,31,34
2017,2,2017-08-24,Slovenia,Croatia,74,73,203,1,5,10,13,5,0,71,19
2017,2,2017-08-24,Turkey,Ukraine,79,55,204,1,4,10,6,12,0,79,82
2017,2,2017-08-24,Latvia,Czech Republic,103,69,205,1,4,6,7,9,0,48,21
2017,2,2017-08-24,Poland,Israel,74,77,206,1,13,4,10,10,0,61,41
2017,2,2017-08-25,Israel,Hungary,85,70,207,1,1,1,11,17,0,41,34
2017,2,2017-08-25,Finland,Russia,91,100,208,1,7,12,7,10,0,27,66
2017,2,2017-08-25,Ukraine,Montenegro,62,75,209,1,1,5,13,12,0,82,53
2017,2,2017-08-25,Lithuania,Spain,78,79,210,1,2,2,9,9,0,50,74
2017,2,2017-08-25,Poland,Great Britain,86,76,211,1,1,1,11,12,0,61,31
2017,2,2017-08-26,Turkey,Montenegro,84,70,212,1,2,1,7,13,0,79,53
2017,2,2017-08-26,Poland,Hungary,74,64,213,1,1,1,12,18,0,61,34
2017,2,2017-08-26,Great Britain,Israel,85,64,214,1,1,1,13,12,0,31,41
2017,2,2017-08-27,Germany,France,79,85,215,1,14,7,11,8,0,30,28
2017,1,2017-08-31,Italy,Israel,69,48,216,0,11,5,7,13,0,42,41
2017,1,2017-08-31,France,Finland,84,86,217,0,4,6,9,8,0,28,27
2017,1,2017-08-31,Lithuania,Georgia,77,79,218,0,6,18,10,12,0,50,29
2017,1,2017-08-31,Iceland,Greece,61,90,219,0,8,12,15,6,0,35,32
2017,1,2017-08-31,Germany,Ukraine,75,63,220,0,4,6,12,14,0,30,82
2017,1,2017-08-31,Slovenia,Poland,90,81,221,0,7,5,14,13,0,71,61
2017,1,2017-09-01,Turkey,Russia,73,76,222,0,6,7,8,11,0,79,66
2017,1,2017-09-01,Romania,Czech Republic,68,83,223,0,12,8,8,10,0,65,21
