season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2017,2,2017-07-30,Italy,Netherlands,66,57,104,1,7,1,1,11,1,42,54
2017,2,2017-07-30,Japan,Uruguay,72,57,105,1,1,1,2,2,0,44,82
2017,2,2017-07-31,Angola,New Zealand,64,72,106,1,7,7,1,1,1,2,55
2019,3,2017-08-02,Albania,Austria,51,79,107,1,100,4,7,10,1,1,5
2019,3,2017-08-02,Kosovo,North Macedonia,72,68,108,1,14,5,9,11,1,47,57
2019,3,2017-08-02,Portugal,Bulgaria,71,82,109,1,6,5,11,10,1,62,11
2019,3,2017-08-02,Sweden,Bosnia & Herzegovina,81,73,110,1,7,11,7,8,1,74,9
2017,2,2017-08-04,Slovenia,Hungary,84,64,111,1,100,8,7,9,0,70,34
2017,2,2017-08-04,Lithuania,Poland,59,58,112,1,7,6,1,7,1,50,61
2017,2,2017-08-04,Russia,Finland,91,75,113,1,100,6,5,2,0,65,27
2017,2,2017-08-04,Georgia,Latvia,73,69,114,1,6,6,8,2,0,29,48
2017,2,2017-08-05,France,Tunisia,67,53,115,1,7,9,1,3,1,28,77
2017,2,2017-08-05,Lithuania,Georgia,70,81,116,1,1,1,2,9,0,50,29
2017,2,2017-08-05,Finland,Israel,92,97,117,1,1,13,3,3,0,27,41
2017,2,2017-08-05,Hungary,Czech Republic,51,85,118,1,1,7,10,3,0,34,21
2017,2,2017-08-05,Germany,Belgium,69,71,119,1,100,7,7,9,0,30,8
2017,2,2017-08-05,Latvia,Poland,76,80,120,1,1,1,3,8,0,48,61
2019,3,2017-08-05,North Macedonia,Estonia,76,80,121,1,3,10,12,8,0,57,26
2019,3,2017-08-05,Bosnia & Herzegovina,Slovakia,84,71,122,1,3,9,9,11,0,9,69
2019,3,2017-08-05,Austria,Netherlands,72,79,123,1,3,6,11,12,0,5,54
2017,2,2017-08-06,Slovenia,Czech Republic,88,80,124,1,2,1,8,4,0,70,21
2017,2,2017-08-06,Russia,Israel,71,79,125,1,2,1,6,4,0,65,41
2017,2,2017-08-07,Tunisia,Belgium,70,65,126,1,2,2,4,10,0,77,8
2017,2,2017-08-07,Great Britain,Ukraine,86,64,127,1,100,9,7,8,0,31,81
2017,2,2017-08-08,Spain,Tunisia,71,45,128,1,16,1,3,5,0,73,77
2017,2,2017-08-08,France,Croatia,87,92,129,1,3,7,2,1,0,28,19
2017,2,2017-08-08,Greece,Great Britain,92,64,130,1,7,1,1,8,1,32,31
2017,2,2017-08-09,Spain,Belgium,71,89,131,1,1,2,4,11,0,73,8
2017,2,2017-08-09,Croatia,Lithuania,82,80,132,1,1,4,2,3,0,19,50
2019,3,2017-08-09,Netherlands,Albania,91,77,133,1,4,7,13,8,0,54,1
2019,3,2017-08-09,Slovakia,Sweden,68,59,134,1,4,7,12,8,0,69,74
2019,3,2017-08-09,Estonia,Kosovo,76,50,135,1,4,7,9,10,0,26,47
2017,2,2017-08-10,France,Lithuania,98,77,136,1,2,1,3,4,0,28,50
2017,2,2017-08-11,Montenegro,Greece,81,83,137,1,100,3,7,2,0,53,32
2017,2,2017-08-11,Italy,Finland,75,70,138,1,12,6,2,4,0,42,27
2017,2,2017-08-11,Iceland,Germany,66,90,139,1,13,6,9,8,0,35,30
2017,2,2017-08-11,Latvia,Poland,77,65,140,1,6,6,4,9,0,48,61
2017,2,2017-08-11,Georgia,Czech Republic,87,76,141,1,6,5,10,5,0,29,21
2017,2,2017-08-11,Russia,Hungary,84,69,142,1,5,6,7,11,0,65,34
2017,2,2017-08-12,Uruguay,Argentina,96,105,143,1,13,7,3,1,0,82,3
2017,2,2017-08-12,Serbia,Greece,93,61,144,1,7,1,1,3,1,68,32
2017,2,2017-08-12,Finland,Turkey,93,88,145,1,1,7,5,1,0,27,78
2017,2,2017-08-12,Croatia,Slovenia,85,81,146,1,3,6,3,9,0,19,70
2017,2,2017-08-12,Hungary,Iceland,56,60,147,1,1,1,12,10,0,34,35
2017,2,2017-08-12,Germany,Russia,60,89,148,1,1,1,9,8,0,30,65
2019,3,2017-08-12,North Macedonia,Kosovo,87,74,149,1,7,3,13,11,0,57,47
2019,3,2017-08-12,Bosnia & Herzegovina,Sweden,72,88,150,1,7,3,10,9,0,9,74
2019,3,2017-08-12,Bulgaria,Portugal,91,65,151,1,10,10,11,12,0,11,62
2019,3,2017-08-12,Austria,Albania,97,63,152,1,7,3,12,9,0,5,1
2017,2,2017-08-13,Uruguay,Argentina,87,78,153,1,1,1,4,2,0,82,3
2017,2,2017-08-13,Montenegro,Serbia,71,82,154,1,2,1,8,2,0,53,68
2017,2,2017-08-13,Italy,Turkey,73,53,155,1,2,1,3,2,0,42,78
2017,2,2017-08-13,Israel,Great Britain,78,69,156,1,7,5,5,9,0,41,31
2017,2,2017-08-13,Slovenia,Ukraine,78,67,157,1,1,6,10,9,0,70,81
2017,2,2017-08-13,Georgia,Czech Republic,68,64,158,1,2,2,11,6,0,29,21
2017,2,2017-08-13,Germany,Hungary,67,65,159,1,1,1,10,13,0,30,34
2017,2,2017-08-13,Russia,Iceland,82,69,160,1,1,1,9,11,0,65,35
2017,2,2017-08-14,Croatia,Ukraine,79,74,161,1,2,1,4,10,0,19,81
2017,2,2017-08-15,Spain,Venezuela,90,44,162,1,6,7,5,1,0,73,83
2017,2,2017-08-15,Lithuania,France,96,71,163,1,5,5,5,4,0,50,28
2017,2,2017-08-16,Czech Republic,Turkey,66,67,164,1,3,3,7,3,0,21,78
2019,3,2017-08-16,Netherlands,Austria,71,78,165,1,7,4,14,13,0,54,5
2019,3,2017-08-16,Slovakia,Bosnia & Herzegovina,74,92,166,1,7,4,13,11,0,69,9
2019,3,2017-08-16,Estonia,North Macedonia,74,65,167,1,7,4,10,14,0,26,57
2017,2,2017-08-18,Spain,Senegal,80,69,168,1,3,7,6,1,0,73,67
2017,2,2017-08-18,France,Belgium,85,60,169,1,3,9,5,12,0,28,8
2017,2,2017-08-18,Czech Republic,Finland,83,62,170,1,2,6,8,6,0,21,27
2017,2,2017-08-18,Montenegro,Italy,66,67,171,1,5,5,9,4,0,53,42
2017,2,2017-08-18,Israel,Slovenia,89,84,172,1,5,5,6,11,0,41,70
2017,2,2017-08-19,Argentina,Colombia,78,59,173,1,6,7,3,1,0,3,18
2017,2,2017-08-19,Brazil,Uruguay,63,69,174,1,7,6,1,5,1,10,82
2017,2,2017-08-19,France,Montenegro,100,70,175,1,1,1,6,10,0,28,53
2017,2,2017-08-19,Slovenia,Turkey,84,86,176,1,1,3,12,4,0,70,78
2017,2,2017-08-19,Great Britain,Greece,84,88,177,1,6,7,10,4,0,31,32
2017,2,2017-08-19,Latvia,Lithuania,87,77,178,1,8,4,5,6,0,48,50
2017,2,2017-08-19,Belgium,Italy,80,60,179,1,1,1,13,5,0,8,42
2017,2,2017-08-19,Hungary,Iceland,81,66,180,1,6,6,14,12,0,34,35
2019,3,2017-08-19,Albania,Netherlands,37,111,181,1,7,3,10,15,0,1,54
2019,3,2017-08-19,Kosovo,Estonia,75,69,182,1,7,3,12,11,0,47,26
2019,3,2017-08-19,Sweden,Slovakia,86,82,183,1,7,3,10,14,0,74,69
2017,2,2017-08-20,Argentina,Uruguay,92,74,184,1,1,1,4,6,0,3,82
2017,2,2017-08-20,Brazil,Colombia,72,58,185,1,1,1,2,2,0,10,18
2017,2,2017-08-20,France,Italy,88,63,186,1,1,1,7,6,0,28,42
2017,2,2017-08-20,Israel,Turkey,83,84,187,1,2,1,7,5,0,41,78
2017,2,2017-08-20,Spain,Venezuela,90,62,188,1,2,5,7,2,0,73,83
2017,2,2017-08-20,Montenegro,Belgium,78,64,189,1,1,1,11,14,0,53,8
2017,2,2017-08-20,Iceland,Hungary,67,82,190,1,1,1,13,15,0,35,34
2017,2,2017-08-21,Uruguay,Colombia,76,74,191,1,1,1,7,3,0,82,18
2017,2,2017-08-22,Argentina,Brazil,86,74,192,1,2,2,5,3,0,3,10
2017,2,2017-08-23,Belgium,Spain,72,88,193,1,3,3,15,8,0,8,73
2017,2,2017-08-23,Lithuania,Iceland,84,62,194,1,4,3,7,14,0,50,35
2017,2,2017-08-24,Great Britain,Hungary,82,64,195,1,5,4,11,16,0,31,34
2017,2,2017-08-24,Slovenia,Croatia,74,73,196,1,5,10,13,5,0,70,19
2017,2,2017-08-24,Turkey,Ukraine,79,55,197,1,4,10,6,11,0,78,81
2017,2,2017-08-24,Latvia,Czech Republic,103,69,198,1,5,6,6,9,0,48,21
2017,2,2017-08-24,Poland,Israel,74,77,199,1,13,4,10,8,0,61,41
2017,2,2017-08-25,Israel,Hungary,85,70,200,1,1,1,9,17,0,41,34
2017,2,2017-08-25,Finland,Russia,91,100,201,1,7,12,7,10,0,27,65
2017,2,2017-08-25,Ukraine,Montenegro,62,75,202,1,1,5,12,12,0,81,53
2017,2,2017-08-25,Lithuania,Spain,78,79,203,1,2,2,8,9,0,50,73
2017,2,2017-08-25,Poland,Great Britain,86,76,204,1,1,1,11,12,0,61,31
2017,2,2017-08-26,Turkey,Montenegro,84,70,205,1,2,1,7,13,0,78,53
2017,2,2017-08-26,Poland,Hungary,74,64,206,1,1,1,12,18,0,61,34
2017,2,2017-08-26,Great Britain,Israel,85,64,207,1,1,1,13,10,0,31,41
2017,2,2017-08-27,Germany,France,79,85,208,1,14,7,11,8,0,30,28
2017,1,2017-08-31,Italy,Israel,69,48,209,0,11,5,7,11,0,42,41
2017,1,2017-08-31,France,Finland,84,86,210,0,4,6,9,8,0,28,27
2017,1,2017-08-31,Lithuania,Georgia,77,79,211,0,6,18,9,12,0,50,29
2017,1,2017-08-31,Iceland,Greece,61,90,212,0,8,12,15,5,0,35,32
2017,1,2017-08-31,Germany,Ukraine,75,63,213,0,4,6,12,13,0,30,81
2017,1,2017-08-31,Slovenia,Poland,90,81,214,0,7,5,14,13,0,70,61
2017,1,2017-09-01,Turkey,Russia,73,76,215,0,6,7,8,11,0,78,65
2017,1,2017-09-01,Spain,Montenegro,99,60,216,0,7,6,10,14,0,73,53
2017,1,2017-09-01,Serbia,Latvia,92,82,217,0,19,8,3,7,0,68,48
2017,1,2017-09-01,Hungary,Croatia,58,67,218,0,6,8,19,6,0,34,19
2017,1,2017-09-01,Belgium,Great Britain,103,90,219,0,9,6,16,14,0,8,31
2017,1,2017-09-02,Israel,Lithuania,73,88,220,0,2,2,12,10,0,41,50
2017,1,2017-09-02,Great Britain,Turkey,70,84,221,0,1,1,15,9,0,31,78
2017,1,2017-09-02,Finland,Slovenia,78,81,222,0,2,2,9,15,0,27,70
2017,1,2017-09-02,Ukraine,Italy,66,78,223,0,2,2,14,8,0,81,42
2017,1,2017-09-02,Czech Republic,Spain,56,93,224,0,9,1,10,11,0,21,73
2017,1,2017-09-02,Russia,Serbia,75,72,225,0,1,1,12,4,0,65,68
2017,1,2017-09-02,Greece,France,87,95,226,0,2,2,6,10,0,32,28
2017,1,2017-09-02,Georgia,Germany,57,67,227,0,2,2,13,13,0,29,30
2017,1,2017-09-02,Montenegro,Hungary,72,48,228,0,1,1,15,20,0,53,34
2017,1,2017-09-02,Latvia,Belgium,92,64,229,0,1,1,8,17,0,48,8
2017,1,2017-09-02,Poland,Iceland,91,61,230,0,2,2,14,16,0,61,35
2017,1,2017-09-03,Germany,Israel,80,82,231,0,1,1,14,13,0,30,41
2017,1,2017-09-03,Finland,Poland,90,87,232,0,1,1,10,15,0,27,61
2017,1,2017-09-03,Lithuania,Italy,78,73,233,0,1,1,11,9,0,50,42
