season,division,date,home,away,home_goals,away_goals,game_nr,team1_home
2017,2,2017-08-13,Germany,Hungary,67,65,159,1
2017,2,2017-08-13,Russia,Iceland,82,69,160,1
2017,2,2017-08-14,Croatia,Ukraine,79,74,161,1
2017,2,2017-08-15,Spain,Venezuela,90,44,162,1
2017,2,2017-08-15,Lithuania,France,96,71,163,1
2017,2,2017-08-16,Czech Republic,Turkey,66,67,164,1
2019,3,2017-08-16,Netherlands,Austria,71,78,165,1
2019,3,2017-08-16,Slovakia,Bosnia & Herzegovina,74,92,166,1
2019,3,2017-08-16,Estonia,North Macedonia,74,65,167,1
2017,2,2017-08-18,Spain,Senegal,80,69,168,1
2017,2,2017-08-18,France,Belgium,85,60,169,1
2017,2,2017-08-18,Czech Republic,Finland,83,62,170,1
2017,2,2017-08-18,Montenegro,Italy,66,67,171,1
2017,2,2017-08-18,Israel,Slovenia,89,84,172,1
2017,2,2017-08-19,Argentina,Colombia,78,59,173,1
2017,2,2017-08-19,Brazil,Uruguay,63,69,174,1
2017,2,2017-08-19,France,Montenegro,100,70,175,1
2017,2,2017-08-19,Slovenia,Turkey,84,86,176,1
2017,2,2017-08-19,Great Britain,Greece,84,88,177,1
2017,2,2017-08-19,Latvia,Lithuania,87,77,178,1
2017,2,2017-08-19,Belgium,Italy,80,60,179,1
2017,2,2017-08-19,Hungary,Iceland,81,66,180,1
2019,3,2017-08-19,Albania,Netherlands,37,111,181,1
2019,3,2017-08-19,Kosovo,Estonia,75,69,182,1
2019,3,2017-08-19,Sweden,Slovakia,86,82,183,1
2017,2,2017-08-20,Argentina,Uruguay,92,74,184,1
2017,2,2017-08-20,Brazil,Colombia,72,58,185,1
2017,2,2017-08-20,France,Italy,88,63,186,1
2017,2,2017-08-20,Israel,Turkey,83,84,187,1
2017,2,2017-08-20,Spain,Venezuela,90,62,188,1
2017,2,2017-08-20,Montenegro,Belgium,78,64,189,1
2017,2,2017-08-20,Iceland,Hungary,67,82,190,1
2017,2,2017-08-21,Uruguay,Colombia,76,74,191,1
2017,2,2017-08-22,Argentina,Brazil,86,74,192,1
2017,2,2017-08-23,Belgium,Spain,72,88,193,1
2017,2,2017-08-23,Lithuania,Iceland,84,62,194,1
2017,2,2017-08-24,Great Britain,Hungary,82,64,195,1
2017,2,2017-08-24,Slovenia,Croatia,74,73,196,1
2017,2,2017-08-24,Turkey,Ukraine,79,55,197,1
2017,2,2017-08-24,Latvia,Czech Republic,103,69,198,1
2017,2,2017-08-24,Poland,Israel,74,77,199,1
2017,2,2017-08-25,Israel,Hungary,85,70,200,1
2017,2,2017-08-25,Finland,Russia,91,100,201,1
2017,2,2017-08-25,Ukraine,Montenegro,62,75,202,1
2017,2,2017-08-25,Lithuania,Spain,78,79,203,1
2017,2,2017-08-25,Poland,Great Britain,86,76,204,1
2017,2,2017-08-26,Turkey,Montenegro,84,70,205,1
2017,2,2017-08-26,Poland,Hungary,74,64,206,1
2017,2,2017-08-26,Great Britain,Israel,85,64,207,1
2017,2,2017-08-27,Germany,France,79,85,208,1
2017,1,2017-08-31,Italy,Israel,69,48,209,0
2017,1,2017-08-31,France,Finland,84,86,210,0
2017,1,2017-08-31,Lithuania,Georgia,77,79,211,0
2017,1,2017-08-31,Iceland,Greece,61,90,212,0
2017,1,2017-08-31,Germany,Ukraine,75,63,213,0
2017,1,2017-08-31,Slovenia,Poland,90,81,214,0
2017,1,2017-09-01,Turkey,Russia,73,76,215,0
2017,1,2017-09-01,Spain,Montenegro,99,60,216,0
2017,1,2017-09-01,Serbia,Latvia,92,82,217,0
2017,1,2017-09-01,Hungary,Croatia,58,67,218,0
2017,1,2017-09-01,Belgium,Great Britain,103,90,219,0
2017,1,2017-09-02,Israel,Lithuania,73,88,220,0
2017,1,2017-09-02,Great Britain,Turkey,70,84,221,0
2017,1,2017-09-02,Finland,Slovenia,78,81,222,0
2017,1,2017-09-02,Ukraine,Italy,66,78,223,0
2017,1,2017-09-02,Czech Republic,Spain,56,93,224,0
2017,1,2017-09-02,Russia,Serbia,75,72,225,0
2017,1,2017-09-02,Greece,France,87,95,226,0
2017,1,2017-09-02,Georgia,Germany,57,67,227,0
2017,1,2017-09-02,Montenegro,Hungary,72,48,228,0
2017,1,2017-09-02,Latvia,Belgium,92,64,229,0
2017,1,2017-09-02,Poland,Iceland,91,61,230,0
2017,1,2017-09-03,Germany,Israel,80,82,231,0
2017,1,2017-09-03,Finland,Poland,90,87,232,0
2017,1,2017-09-03,Lithuania,Italy,78,73,233,0
2017,1,2017-09-03,Slovenia,Greece,78,72,234,0
2017,1,2017-09-03,Georgia,Ukraine,81,88,235,0
2017,1,2017-09-03,France,Iceland,115,79,236,0
2017,1,2017-09-04,Serbia,Turkey,80,74,237,0
2017,1,2017-09-04,Montenegro,Croatia,72,76,238,0
2017,1,2017-09-04,Belgium,Russia,67,76,239,0
2017,1,2017-09-04,Hungary,Czech Republic,85,73,240,0
2017,1,2017-09-04,Latvia,Great Britain,97,92,241,0
2017,1,2017-09-05,Israel,Georgia,91,104,242,0
2017,1,2017-09-05,Turkey,Belgium,78,65,243,0
2017,1,2017-09-05,Greece,Finland,77,89,244,0
2017,1,2017-09-05,Italy,Germany,55,61,245,0
2017,1,2017-09-05,Croatia,Spain,73,79,246,0
2017,1,2017-09-05,Great Britain,Serbia,68,82,247,0
2017,1,2017-09-05,Poland,France,75,78,248,0
2017,1,2017-09-05,Ukraine,Lithuania,62,94,249,0
2017,1,2017-09-05,Czech Republic,Montenegro,75,88,250,0
2017,1,2017-09-05,Russia,Latvia,69,84,251,0
2017,1,2017-09-05,Iceland,Slovenia,75,102,252,0
2017,1,2017-09-06,Finland,Iceland,83,79,253,0
2017,1,2017-09-06,Israel,Ukraine,64,88,254,0
2017,1,2017-09-06,Georgia,Italy,69,71,255,0
2017,1,2017-09-06,Greece,Poland,95,77,256,0
2017,1,2017-09-06,Germany,Lithuania,72,89,257,0
2017,1,2017-09-06,Slovenia,France,95,78,258,0
